AlCoCrFeNiSiTi,AlCoCrFe6NiSiTi,BCC,[78],5.1,-21.2,7.9,1.1,7.5,7,2.2,0.8,4.6
,AlCo0.6Cr1.5Fe0.2NiSiTi0.2,BCC+Cr3Si,[79],5.3,-32,8.1,0.8,6.6,6.1,2.3,0.9,5.6
,AlCo0.6CrFe0.2NiSiTi0.2,BCC+Cr3Si,[79],5.5,-34.1,8.3,0.7,7.1,6.2,2.4,1,5.8
,AlCo0.6CrFe0.2Ni0.2Si0.2Ti0.2,BCC+Cr3Si,[79],6,-23,7.8,1,5.2,5.8,2.1,1,6.5
AlCoCrFeNiTi,Al0.3CoCrFeNiTi0.1,FCC,[11],4.1,-8.9,6.3,2.7,8.5,7.8,1.8,0.5,2.5
,Al0.5CoCrFeNiTi,BCC+BCC+L,[80],6.5,-19.6,10.4,1.3,5.3,7,1.9,1.1,4.3
,AlCo3CrFeNiTi0.5,FCC+BCC,[81],5.7,-15,7.8,1.5,7.2,7.5,2,0.8,4.6
,AlCoCrFeNiTi1.5,BCC+BCC+L,[82],6.9,-23.9,11,1.1,5.5,6.5,2,1.2,5.1
,AlCo2CrFeNiTi0.5,FCC+BCC,[81],5.9,-16.4,8.2,1.4,6.3,7.2,2,0.9,4.8
,AlCoCrFeNiTi,BCC+BCC,[82],6.6,-21.6,10.1,1.2,5.3,6.7,2,1.1,5.1
,AlCo1.5CrFeNiTi0.5,FCC+BCC,[81],6,-17.2,8.4,1.4,5.8,7.1,2,0.9,5
,AlCoCrFeNiTi0.5,BCC+BCC,[82],6.2,-17.9,8.6,1.4,5.4,6.9,2,0.9,5.2
AlCoCrFeNiTiVZr,AlCoCrFeNiTiVZr,BMG,[54],8.7,-26.8,12,1.2,3.5,6.1,2,1.4,5
AlCoCuFeNi,AlCoCu0.33FeNi,FCC+FCC+B2,[83],5.5,-9.2,5.4,2.1,2,7.9,2.1,0.8,5.5
,AlCoCu0.5FeNi,FCC+BCC,[59],5.6,-8.7,5.5,2.3,1.5,7.9,2.1,0.8,5.7
AlCoCuLaNi,Al25Co5Cu10La55Ni5,BMG,[3],16.2,-32.3,23.1,0.4,2.3,4.5,2.2,7.2,17.4
AlCoCuNdNi,Al11Co5Cu15Nd61Ni8,BMG,[4],15.6,-27.4,23.2,0.5,2,5.1,2,7.6,18.6
AlCoCuNi,AlCoCuNi,FCC+BCC,[65],5.8,-8,5.9,2,1,8.3,2,0.9,6.1
AlCoCuNiTiZn,AlCoCuNiTiZn,BCC,[84],6.5,-17.9,10.7,1.2,1.2,8.2,2,1.2,6.3
AlCoDyFeY,Al24Co18Dy46Fe2Y10,BMG,[4],14.3,-33.3,18.7,0.5,15.1,4.2,2.2,3.7,14.3
AlCoErY,Al24Co20Er50Y6,BMG,[54],13.9,-34.7,17.7,0.4,15.4,4.2,2.2,3.7,14.4
AlCoFeMoNi,AlCoFeMo0.5Ni,BCC+sigma,[75],6,-12.7,7.9,1.7,16.7,7.3,2.1,1,5.8
AlCoFeNd,Al10Co10Fe20Nd60,BMG,[54],15.8,-15.2,22.3,0.8,1.6,4.6,2.1,7.7,20.1
AlCoFeNiTiVZr,AlCoFeNiTiVZr,BMG,[54],8.9,-31.4,12.8,0.9,4.3,6.1,2.1,1.5,5.4
AlCoGdY,Al24Co20Gd40Y16,BMG,[54],15.2,-34.3,19.7,0.5,14.7,4.2,2.2,3.7,14.8
AlCoScY,Al24Co20Sc20Y36,BMG,[55],15.5,-34.9,21.1,0.5,5.8,4.2,2.2,3.3,13.1
AlCrCuFe,Al0.2CrCuFe,FCC+BCC,[85],2.9,7.7,5.1,2.3,0.6,8,1.4,0.3,2.6
,Al1.2CrCuFe,FCC+BCC,[85],5.3,-0.5,5.8,30.7,0.7,6.8,1.8,0.9,6.1
AlCrCuFeMnNi,Al0.3CrCuFeMnNi,FCC+BCC,[86],3.1,-0.3,5,87.3,1,8.1,1.7,0.6,3.2
,Al0.5CrCuFeMnNi,FCC+BCC,[86],3.8,-1.9,5.2,12.3,1,7.9,1.7,0.7,3.7
,Al0.8CrCuFeMn1.5Ni,FCC+BCC,[86],4.3,-4.2,5.2,5.4,1.1,7.6,1.8,0.8,4.2
,Al0.8CrCuFe1.5MnNi,FCC+BCC,[86],4.3,-3.3,5.3,7,1.1,7.7,1.8,0.7,4.1
,Al0.8CrCu1.5FeMnNi,FCC+BCC,[86],4.3,-1.7,5.4,13.1,0.9,7.9,1.7,0.7,4
,Al0.8CrCuFeMnNi,FCC+BCC,[86],4.4,-4,5.5,5.8,1.1,7.7,1.8,0.7,4.2
,AlCrCuFeMnNi,BCC,[86],4.8,-5.1,5.6,4.5,1.1,7.5,1.8,0.8,4.5
AlCrCuFeNi,Al0.2CrCuFeNi2,FCC,[85],2.8,0.1,5.1,172.1,1,8.8,1.7,0.4,2.5
,Al0.4CrCuFeNi2,FCC,[85],3.6,-1.7,5.4,12.2,1.1,8.6,1.7,0.4,3
,Al0.6CrCuFeNi2,FCC,[85],4.2,-3.3,5.7,6.3,1.1,8.4,1.8,0.5,3.6
,Al0.8CrCuFeNi2,FCC,[85],4.6,-4.6,5.9,4.5,1.1,8.2,1.8,0.6,4.2
,AlCrCuFeNi2,FCC,[85],4.9,-5.8,6.1,3.5,1.1,8,1.8,0.7,4.7
,Al1.2CrCuFeNi2,FCC+BCC,[85],5.2,-6.8,6.2,3,1.1,7.8,1.9,0.7,5.1
,AlCrCu0.5FeNi,FCC+BCC,[59],5.3,-7.7,6.2,2.7,1.4,7.2,1.9,0.7,5.4
AlCrCuFeNiTi,AlCr3CuFeNiTi,FCC+BCC,[87],5.8,-9.3,8.9,2.6,1.4,6.8,1.6,0.9,4.3
,AlCr2CuFeNiTi,FCC+BCC,[87],6,-11.1,9.5,2.2,1.3,6.9,1.7,1,4.5
,AlCr1.5CuFeNiTi,FCC+BCC,[87],6.2,-12.3,9.8,2,1.2,6.9,1.8,1,4.6
,AlCrCuFeNiTi,FCC+BCC,[87],6.4,-13.7,10.1,1.8,1.1,7,1.8,1.1,4.8
,AlCr0.5CuFeNiTi,FCC+BCC,[87],6.5,-15.4,10.5,1.5,1.1,7.1,1.9,1.1,5.1
AlCrFeMnNi,Al0.3CrFe1.5MnNi0.5,BCC+B2+FCC,[88],3.3,-5.5,4.6,3.8,3.8,7.2,1.8,0.7,3.8
,Al0.5CrFe1.5MnNi0.5,BCC+B2+FCC,[88],4,-7.3,4.8,2.9,3.7,7,1.9,0.7,4.2
AlCrFeNi,AlCrFeNi0.75,BCC+B2,[83],5.6,-13.2,6.2,1.4,15.6,6.5,2,0.9,6.5
AlCrMoSiTi,AlCrMoSiTi,OrderedBCC+Mo5Si3,[89],4.9,-34.1,11.4,0.7,4.8,4.6,2.2,1.2,7.8
